obs_type,obs_mode,observer_type,obs_note_code,site_code,program_code,catalog_code,sub_frame,date_min,date_max,sigma,comment
OPTICAL,CCD,*,*,J04,*,*,*,*,*,1.00,Station rule: J04 default
OPTICAL,CCD,*,*,J04,*,Gaia1|Gaia2|Gaia3E|Gaia3|PPMXL|2MASS|UCAC4|UCAC2|UCAC3|UCAC1,*,*,*,0.50,Station rule: J04 selected catalogs
OPTICAL,CCD,*,*,J04,02|0D,PPMXL|UCAC4|Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.30,Station rule: J04 packed programs 2 and dollar selected catalogs
OPTICAL,CCD,*,*,J04,0C,*,*,*,*,1.00,Station rule: J04 packed program hash
OPTICAL,CCD,*,*,Z84,*,*,*,*,*,1.00,Station rule: Z84 default
OPTICAL,CCD,*,*,Z84,*,Gaia1|Gaia2|Gaia3E|Gaia3|PPMXL|2MASS|UCAC4|UCAC2|UCAC3|UCAC1,*,*,*,0.50,Station rule: Z84 selected catalogs
OPTICAL,CCD,*,*,Z84,01|07,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.30,Station rule: Z84 packed programs 1 and 7 Gaia
OPTICAL,CCD,*,*,W84,0F,*,*,*,*,1.00,Station rule: W84 packed program ampersand
OPTICAL,CCD,*,*,950,*,*,*,*,*,1.00,Station rule: 950 default
OPTICAL,CCD,*,*,950,*,Gaia1|Gaia2|Gaia3E|Gaia3|PPMXL|2MASS|UCAC4|UCAC2|UCAC3|UCAC1,*,*,*,0.50,Station rule: 950 selected catalogs
OPTICAL,CCD,*,*,950,0f,*,*,*,*,1.00,Station rule: 950 packed program at

OPTICAL,CCD,*,*,E10,0H|0N,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: E10 packed programs left parenthesis and dot Gaia
OPTICAL,CCD,*,*,F65,08|09,Gaia1|Gaia2|Gaia3E|Gaia3,*,*,*,0.20,Station rule: F65 packed programs 8 and 9 Gaia
OPTICAL,CCD,*,*,V39,*,*,*,*,*,0.40,Station rule: V39 default
OPTICAL,CCD,*,*,Z24,*,*,*,*,*,0.40,Station rule: Z24 default
OPTICAL,CCD,*,*,Z31,*,*,*,*,*,0.40,Station rule: Z31 default
OPTICAL,CCD,*,*,K91,00|03,*,*,*,*,0.30,Station rule: K91 packed programs 0 and 3
OPTICAL,CCD,*,*,K92,00|03,*,*,*,*,0.30,Station rule: K92 packed programs 0 and 3
